trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",20,0,-95.41384477622971,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.5}",25,0,-57.23427211001481,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.3333333333333333}",20,0,-169.76846499534335,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.25}",25,0,-42.95801855192276,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.2}",20,11,-32.06455798645291,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.8, 'e': 0.16666666666666666}",25,5,18.289955961007706,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.8, 'e': 0.14285714285714285}",20,0,-59.429627413689104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.125}",25,13,7.239987960447203,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.1111111111111111}",30,0,25.826087390588228,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.1}",30,0,-52.928377419264535,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.09090909090909091}",30,16,12.420808607945188,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.8, 'e': 0.08333333333333333}",30,12,22.555383903386954,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.8, 'e': 0.07692307692307693}",20,0,9.028375328231741,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.07142857142857142}",25,2,-14.86132416063426,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.8, 'e': 0.06666666666666667}",20,12,0.40602335188327165,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.0625}",30,14,21.586483995924766,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.058823529411764705}",25,11,-14.247845217288923,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.8, 'e': 0.05555555555555555}",20,12,2.0855487934723014,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.05263157894736842}",25,10,26.391370822917914,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.8, 'e': 0.05}",25,12,14.633844358413718,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.047619047619047616}",30,0,34.853366838455614,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.045454545454545456}",25,0,38.16422448715569,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.8, 'e': 0.043478260869565216}",20,14,6.584731314540903,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.8, 'e': 0.041666666666666664}",30,7,21.678033982329776,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.8, 'e': 0.04}",20,12,17.756320285334187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.8, 'e': 0.038461538461538464}",20,2,16.943669121458278,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.8, 'e': 0.037037037037037035}",30,22,3.9944728704162884,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.8, 'e': 0.03571428571428571}",20,3,14.200921052337609,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.8, 'e': 0.034482758620689655}",20,7,-3.196134520173156,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.8, 'e': 0.03333333333333333}",25,17,-27.26447189116921,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.8, 'e': 0.03225806451612903}",25,0,-5.546588200158386,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.03125}",20,0,-61.727364243442324,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.030303030303030304}",25,11,-15.813795496164417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.8, 'e': 0.029411764705882353}",25,15,-6.543954076512359,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.02857142857142857}",20,8,19.838349275164692,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
