trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.63283602471923,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.53126286793146,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-266.8254045960256,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.12582111080384,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-206.6772366892419,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.51999354790385,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,10,-40.73146453778144,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.2838261227524,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.99445131906857,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.1342295034152,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.39065324231976,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.18826183039216,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.88919337934318,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.67617802685074,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-2.8306297886552656,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.38515762651579,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.262453611486052,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.06508129709113,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-177.405278922042,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.3166473846283,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.5316059572329,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.5756885698989,"{0: 9, 1: 7, 2: 2, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-220.36012761832183,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,10,-67.2605241704329,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,5,-42.52366986767171,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,5,-76.1057716860731,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.19129129797332,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-179.6124104337605,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-213.15471401978246,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.54101559180603,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
